Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key,Simplified_Indication
pozelimab-bbfg,Veopoz,4/13/20,Treatment of CD55-deficient protein-losing enteropathy,Designated/Approved,,,"treatment of adult and pediatric patients 1 year of age and older with CD55-deficient protein-losing enteropathy (PLE), also known as CHAPLE disease",8/18/23,8/18/30,"treatment of adult and pediatric patients 1 year of age and older with CD55-deficient protein-losing enteropathy (PLE), also known as CHAPLE disease","Regeneron Pharmaceuticals, Inc.",777 Old Saw Mill River Rd.,,Tarrytown,New York,10591-6707 ',United States,736820,"For adult and pediatric patients 1 year of age and older with CD55-deficient protein-losing enteropathy (PLE), also known as CHAPLE disease"
pralatrexate,Folotyn,7/20/06,Treatment of T-cell lymphoma,Designated/Approved,,,Treatment of patients with relapsed or refractory peripheral T-cell lymphoma,9/24/09,9/24/16,,Acrotech Biopharma LLC,279 Princeton Hightstown Road,,East Windsor,New Jersey,08520 ',United States,225306,For patients with relapsed or refractory peripheral T-cell lymphoma
pralsetinib,GAVRETO,4/11/18,"Treatment of rearranged during transfection (RET)-rearranged non-small cell lung cancer (NSCLC), JAK1/2-positive NSCLC, or TRKC-positive NSCLC.",Designated/Approved,,,treatment of adult patients with metastatic RET fusion-positive non-small cell lung cancer (NSCLC) as detected by an FDA approved test,9/4/20,9/4/27,treatment of adult patients with metastatic RET fusion-positive non-small cell lung cancer (NSCLC) as detected by an FDA approved test,"Rigel Pharmaceuticals, Inc.",611 Gateway Blvd Suite 900,,South San Francisco,California,94080 ',United States,634318,For adult patients with metastatic RET fusion-positive non-small cell lung cancer (NSCLC) as detected by an FDA approved test
pralsetinib,Gavreto,5/26/20,"Treatment of RET-fusion, RET-mutation, and TRKC-positive poorly differentiated thyroid cancer, undifferentiated or anaplastic thyroid cancer, medullary thyroid cancer, and locally advanced or metastatic follicular or papillary thyroid cancer",Designated/Approved,,,Treatment of (1) Adult and pediatric patients 12 years of age and older with advanced or metastatic RET-mutant medullary thyroid cancer (MTC) who require systemic therapy; and; (2) Adult and pediatric patients 12 years of age and older with advanced or metastatic RET fusion-positive thyroid cancer who require systemic therapy and who are radioactive iodine-refractory (if radioactive iodine is appropriate),12/1/20,12/1/27,Treatment of (1) Adult and pediatric patients 12 years of age and older with advanced or metastatic RET-mutant medullary thyroid cancer (MTC) who require systemic therapy; and; (2) Adult and pediatric patients 12 years of age and older with advanced or metastatic RET fusion-positive thyroid cancer who require systemic therapy and who are radioactive iodine-refractory (if radioactive iodine is appropriate),"Rigel Pharmaceuticals, Inc.",611 Gateway Blvd Suite 900,,South San Francisco,California,94080 ',United States,728519,For (1) Adult and pediatric patients 12 years of age and older with advanced or metastatic RET-mutant medullary thyroid cancer (MTC) who require systemic therapy; and; (2) Adult and pediatric patients 12 years of age and older with advanced or metastatic RET fusion-positive thyroid cancer who require systemic therapy and who are radioactive iodine-refractory (if radioactive iodine is appropriate)
Pretomanid,Pretomanid,7/5/07,Treatment of tuberculosis,Designated/Approved,,,"Pretomanid tablet is indicated, as part of a combination regimen with bedaquiline and linezolid for the treatment of adults with pulmonary extensively drug resistant (XDR) or treatment-intolerant or nonresponsive multidrug-resistant (MDR) tuberculosis (TB).",8/14/19,8/14/26,As part of a combination regimen with bedaquiline and linezolid for the treatment of adults with pulmonary extensively drug resistant (XDR) or treatment-intolerant or nonresponsive multidrug-resistant (MDR) tuberculosis (TB).,Global Alliance for TB Drug Development,"80 Pine Street, 20th Floor",,New York,New York,10005 ',United States,243107,"Pretomanid tablet is indicated, as part of a combination regimen with bedaquiline and linezolid For adults with pulmonary extensively drug resistant (XDR) or treatment-intolerant or nonresponsive multidrug-resistant (MDR) tuberculosis (TB)."
propranolol,HEMANGEOL,9/5/08,Treatment of proliferating infantile hemangiomas requiring systemic therapy,Designated/Approved,,,Treatment of proliferating infantile hemangioma requiring systemic therapy.,3/14/14,3/14/21,Treatment of proliferating infantile hemangioma requiring systemic therapy.,Pierre Fabre Dermatologie,"8 Campus Drive, 2nd Floor",,Parsippany,New Jersey,07054 ',United States,266708,For proliferating infantile hemangioma requiring systemic therapy.
Protein C concentrate,Ceprotin,6/23/92,"For replacement therapy in congenital protein C deficiency for the prevention and treatment of thrombosis, pulmonary emboli, and purpura fulminans.",Designated/Approved,,,Prevention and treatment of venous thrombosis and purpura fulminans,3/30/07,3/30/14,,"Baxalta US, Inc.",One Baxter Way,,West Lake Village,California,91362 ',United States,65392,Prevention and For venous thrombosis and purpura fulminans
prothrombin complex concentrate (human),Kcentra,12/27/12,Treatment of patients needing urgent reversal of Vitamin K antagonist therapy for treatment of major bleeding and/or surgical procedures,Designated/Approved,,,"Urgent reversal of acquired coagulation factor deficiency induced by Vitamin K antagonist (VKA, e.g., warfarin) therapy in adult patients with acute major bleeding.",4/29/13,4/29/20,"Urgent reversal of acquired coagulation factor deficiency induced by Vitamin K antagonist (VKA, e.g., warfarin) therapy in adult patients with acute major bleeding.",CSL Behring,1020 First Avenue,PO Box 61501,King of Prussia,Pennsylvania,19406 ',United States,305310,"Urgent reversal of acquired coagulation factor deficiency induced by Vitamin K antagonist (VKA, e.g., warfarin) therapy in adult patients with acute major bleeding."
prothrombin complex concentrate (human),Kcentra,12/27/12,Treatment of patients needing urgent reversal of Vitamin K antagonist therapy for treatment of major bleeding and/or surgical procedures,Designated/Approved,,,"Urgent reversal of acquired coagulation factor deficiency induced by vitamin K antagonist (VKA, e.g., warfarin) therapy in adult patients with acute major bleeding or need for an urgent surgery/invasive procedure.",12/13/13,12/13/20,"Urgent reversal of acquired coagulation factor deficiency induced by vitamin K antagonist therapy (VKA, e.g., warfarin) in adult patients with the need for urgent surgery/invasive procedure.",CSL Behring,1020 First Avenue,PO Box 61501,King of Prussia,Pennsylvania,19406 ',United States,305310,"Urgent reversal of acquired coagulation factor deficiency induced by vitamin K antagonist (VKA, e.g., warfarin) therapy in adult patients with acute major bleeding or need for an urgent surgery/invasive procedure."
"prothrombin complex concentrate, human-lans",Balfaxar,2/1/08,Reversal of anticoagulation therapy in patients needing treatment of serious or life threatening bleeding and/or needing urgent surgery or invasive procedures,Designated/Approved,,,"urgent reversal of acquired coagulation factor deficiency induced by Vitamin K antagonist (VKA, e.g., warfarin) therapy in adult patients with need for an urgent surgery/invasive procedure",7/21/23,,,"Octapharma USA, Inc.",121 River Street,12th Floor,Hoboken,New Jersey,07030 ',United States,225806,"urgent reversal of acquired coagulation factor deficiency induced by Vitamin K antagonist (VKA, e.g., warfarin) therapy in adult patients with need for an urgent surgery/invasive procedure"
"Pulmonary surfactant replacement, porcine",Curosurf,8/2/93,For the treatment and prevention of respiratory distress syndrome in premature infants.,Designated/Approved,,,Treatment (rescue) of respiratory distress syndrome in premature infants.,11/18/99,,,"Chiesi USA, Inc.",175 Regency Woods Place,Suite 600,Cary,North Carolina,27518 ',United States,71192,Treatment (rescue) of respiratory distress syndrome in premature infants.
quinine Sulfate,,6/3/04,Treatment of malaria,Designated/Approved,,,Treatment of uncomplicated Plasmodium falciparum malaria,8/12/05,8/12/12,,"AR Holding Company, Inc.",1100 Orthodox Street,,Philadelphia,Pennsylvania,19124 ',United States,185004,For uncomplicated Plasmodium falciparum malaria
quizartinib,Vanflyta,3/18/09,Treatment of acute myeloid leukemia,Designated/Approved,,,"in combination with standard cytarabine and anthracycline induction and cytarabine consolidation, and as maintenance monotherapy following consolidation chemotherapy, for the treatment of adult patients with newly diagnosed acute myeloid leukemia (AML) that is FLT3 internal tandem duplication (ITD)-positive as detected by an FDA-approved test",7/20/23,7/20/30,"in combination with standard induction and consolidation, and as maintenance therapy following consolidation chemotherapy, for the treatment of adult patients with newly diagnosed acute myeloid leukemia (AML) that is FLT3 internal tandem duplication (ITD)-positive as detected by an FDA-approved test","Daiichi Sankyo, Inc.",211 Mount Airy Road,,Basking Ridge,New Jersey,07920 ',United States,277109,"In combination with standard cytarabine and anthracycline induction and cytarabine consolidation, and as maintenance monotherapy following consolidation chemotherapy, For adult patients with newly diagnosed acute myeloid leukemia (AML) that is FLT3 internal tandem duplication (ITD)-positive as detected by an FDA-approved test"
raloxifene,Evista,7/14/05,Reduction of the risk of breast cancer in postmenopausal women,Designated/Approved,,,Reduction in risk of invasive breast cancer in postmenopausal women with osteoporosis and reduction in risk of invasive breast cancer in postmenopausal women at high risk for invasive breast cancer,9/13/07,9/13/14,,Eli Lilly and Company,Lilly Corporate Center,Drop Code 1853,Indianapolis,Indiana,46285 ',United States,197504,Reduction in risk of invasive breast cancer in postmenopausal women with osteoporosis and reduction in risk of invasive breast cancer in postmenopausal women at high risk for invasive breast cancer
ramucirumab,CYRAMZA,11/4/11,Treatment of hepatocellular carcinoma,Designated/Approved,,,"CYRAMZA, as a single agent, is indicated for the treatment of patients with hepatocellular carcinoma (HCC) who have an alpha fetoprotein (AFP) of >=400 ng/mL and have been treated with sorafenib.",5/10/19,5/10/26,"CYRAMZA, as a single agent, is indicated for the treatment of patients with hepatocellular carcinoma (HCC) who have an alpha fetoprotein (AFP) of >=400 ng/mL and have been treated with sorafenib.",Eli Lilly and Company,Lilly Corporate Center,,Indianapolis,Indiana,46285 ',United States,353911,"CYRAMZA, as a single agent, is For patients with hepatocellular carcinoma (HCC) who have an alpha fetoprotein (AFP) of >=400 ng/mL and have been treated with sorafenib."
ramucirumab,CYRAMZA,2/16/12,Treatment of gastric cancer,Designated/Approved,,,"CYRAMZA as a single-agent is indicated for the treatment of patients with advanced or metastatic, gastric or gastro-esophageal junction adenocarcinoma with disease progression on or after prior fluoropyrimidine- or platinum-containing chemotherapy.",4/21/14,4/21/21,"Treatment of advanced gastric cancer or gastro-esophageal junction adenocarcinoma, as a single-agent after prior fluoropyrimidine-or platinum-containing therapy.",Eli Lilly and Company,33 ImClone Drive,,Branchburg,New Jersey,08876 ',United States,359711,"CYRAMZA as a single-agent is For patients with advanced or metastatic, gastric or gastro-esophageal junction adenocarcinoma with disease progression on or after prior fluoropyrimidine- or platinum-containing chemotherapy."
ramucirumab,CYRAMZA,2/16/12,Treatment of gastric cancer,Designated/Approved,,,"Treatment of advanced gastric or gastro-esophageal junction adenocarcinoma, as a single agent or in combination with paclitaxel, after prior fluoropyrimidine- or platinium-containing chemotherapy.",11/5/14,,,Eli Lilly and Company,33 ImClone Drive,,Branchburg,New Jersey,08876 ',United States,359711,"For advanced gastric or gastro-esophageal junction adenocarcinoma, as a single agent or In combination with paclitaxel, after prior fluoropyrimidine- or platinium-containing chemotherapy."
rasburicase,Elitek,10/11/00,Treatment of malignancy-associated or chemotherapy-induced hyperuricemia.,Designated/Approved,,,"Initial management of plasma uric acid levels in pediatric patients with leukemia,lymphoma, and solid tumor malignancies who are receiving anti-cancer therapy expected to result in tumor lysis and subsequent elevation of plasma uric acid.",7/12/02,7/12/09,,Sanofi-Synthelabo Research,9 Great Valley Parkway,,Malvern,Pennsylvania,19355 ',United States,131499,"Initial management of plasma uric acid levels in pediatric patients with leukemia,lymphoma, and solid tumor malignancies who are receiving anti-cancer therapy expected to result in tumor lysis and subsequent elevation of plasma uric acid."
